Ref,Val,Package,PosX,PosY,Rot,Side
"R53","10K","R_0603_1608Metric",76.390000,-139.615000,180.000000,top
"R54","10K","R_0603_1608Metric",96.235000,-129.455000,0.000000,top
"R55","10K","R_0603_1608Metric",90.265000,-129.455000,180.000000,top
"R56","10K","R_0603_1608Metric",82.265000,-129.370000,0.000000,top
"R57","10K","R_0603_1608Metric",76.295000,-129.370000,180.000000,top
"R58","10K","R_0603_1608Metric",96.140000,-119.605000,0.000000,top
"R59","10K","R_0603_1608Metric",90.170000,-119.605000,180.000000,top
"R60","10K","R_0603_1608Metric",82.265000,-119.520000,0.000000,top
"R61","10K","R_0603_1608Metric",76.295000,-119.520000,180.000000,top
"R62","10K","R_0603_1608Metric",96.140000,-109.220000,0.000000,top
"R63","10K","R_0603_1608Metric",90.170000,-109.220000,180.000000,top
"R64","10K","R_0603_1608Metric",82.170000,-109.560000,0.000000,top
"R65","10K","R_0603_1608Metric",76.200000,-109.560000,180.000000,top
"R66","10K","R_0603_1608Metric",164.020000,-31.115000,0.000000,top
"R67","100K","R_0603_1608Metric",193.675000,-77.470000,0.000000,top
"R68","100K","R_0603_1608Metric",193.675000,-83.820000,0.000000,top
"R69","100K","R_0603_1608Metric",193.675000,-86.995000,0.000000,top
"R70","100K","R_0603_1608Metric",193.675000,-90.170000,0.000000,top
"R71","100K","R_0603_1608Metric",193.675000,-93.345000,0.000000,top
"R72","100K","R_0603_1608Metric",193.865000,-96.520000,0.000000,top
"R73","100K","R_0603_1608Metric",193.865000,-99.695000,0.000000,top
"R74","100K","R_0603_1608Metric",201.105000,-77.470000,0.000000,top
"R75","150R","R_0603_1608Metric",207.772000,-104.648000,90.000000,top
"R76","150R","R_0603_1608Metric",210.693000,-104.648000,90.000000,top
"R77","150R","R_0603_1608Metric",212.217000,-108.204000,90.000000,top
"R78","150R","R_0603_1608Metric",213.741000,-104.649000,90.000000,top
"R79","150R","R_0603_1608Metric",215.265000,-108.204000,90.000000,top
"R80","150R","R_0603_1608Metric",216.789000,-104.648000,90.000000,top
"R81","150R","R_0603_1608Metric",218.313000,-108.204000,90.000000,top
"R82","150R","R_0603_1608Metric",219.837000,-104.648000,90.000000,top
"R83","100K","R_0603_1608Metric",201.105000,-80.645000,0.000000,top
"R84","150R","R_0603_1608Metric",221.361000,-108.204000,90.000000,top
"R85","100K","R_0603_1608Metric",200.915000,-83.820000,0.000000,top
"R86","150R","R_0603_1608Metric",222.885000,-104.648000,90.000000,top
"R87","100K","R_0603_1608Metric",200.915000,-86.995000,0.000000,top
"R88","150R","R_0603_1608Metric",224.409000,-108.204000,90.000000,top
"R89","100K","R_0603_1608Metric",193.675000,-80.645000,0.000000,top
"R90","150R","R_0603_1608Metric",209.169000,-108.204000,90.000000,top
"R91","100K","R_0603_1608Metric",200.915000,-90.170000,0.000000,top
"R92","150R","R_0603_1608Metric",225.933000,-104.648000,90.000000,top
"R93","100K","R_0603_1608Metric",200.915000,-93.345000,0.000000,top
"R94","150R","R_0603_1608Metric",227.457000,-108.204000,90.000000,top
"R95","100K","R_0603_1608Metric",200.915000,-96.520000,0.000000,top
"R96","150R","R_0603_1608Metric",228.981000,-104.648000,90.000000,top
"R97","100K","R_0603_1608Metric",200.915000,-99.695000,0.000000,top
"R98","150R","R_0603_1608Metric",230.505000,-108.204000,90.000000,top
"R99","100K","R_0603_1608Metric",148.400000,-77.470000,0.000000,top
"R100","100K","R_0603_1608Metric",148.400000,-80.645000,0.000000,top
"R101","150R","R_0603_1608Metric",134.620000,-104.648000,90.000000,top
"R102","150R","R_0603_1608Metric",136.144000,-108.204000,90.000000,top
"R103","100K","R_0603_1608Metric",148.400000,-83.820000,0.000000,top
"R104","100K","R_0603_1608Metric",148.400000,-86.995000,0.000000,top
"R105","150R","R_0603_1608Metric",137.668000,-104.648000,90.000000,top
"R106","150R","R_0603_1608Metric",139.192000,-108.204000,90.000000,top
"R107","100K","R_0603_1608Metric",148.400000,-90.170000,0.000000,top
"R108","100K","R_0603_1608Metric",148.400000,-93.345000,0.000000,top
"R109","150R","R_0603_1608Metric",140.716000,-104.648000,90.000000,top
"R110","150R","R_0603_1608Metric",142.240000,-108.204000,90.000000,top
"R111","100K","R_0603_1608Metric",148.400000,-96.520000,0.000000,top
"R112","100K","R_0603_1608Metric",148.400000,-99.695000,0.000000,top
"R113","150R","R_0603_1608Metric",143.764000,-104.648000,90.000000,top
"R114","150R","R_0603_1608Metric",145.288000,-108.204000,90.000000,top
"R115","100K","R_0603_1608Metric",155.665000,-77.470000,0.000000,top
"R116","100K","R_0603_1608Metric",155.665000,-80.645000,0.000000,top
"R117","150R","R_0603_1608Metric",146.812000,-104.648000,90.000000,top
"R118","150R","R_0603_1608Metric",148.336000,-108.204000,90.000000,top
"R119","100K","R_0603_1608Metric",155.665000,-83.820000,0.000000,top
"R120","100K","R_0603_1608Metric",155.665000,-86.995000,0.000000,top
"R121","150R","R_0603_1608Metric",149.860000,-104.648000,90.000000,top
"R122","150R","R_0603_1608Metric",151.384000,-108.204000,90.000000,top
"R123","100K","R_0603_1608Metric",155.665000,-90.170000,0.000000,top
"R124","100K","R_0603_1608Metric",155.665000,-93.345000,0.000000,top
"R125","150R","R_0603_1608Metric",152.908000,-104.648000,90.000000,top
"R126","150R","R_0603_1608Metric",154.432000,-108.204000,90.000000,top
"R127","100K","R_0603_1608Metric",155.665000,-96.520000,0.000000,top
"R128","100K","R_0603_1608Metric",155.665000,-99.695000,0.000000,top
"R129","150R","R_0603_1608Metric",155.956000,-104.648000,90.000000,top
"R130","10K","R_0603_1608Metric",223.520000,-71.755000,-90.000000,top
"R131","10K","R_0603_1608Metric",223.520000,-75.565000,90.000000,top
"R132","10K","R_0603_1608Metric",98.235000,-46.990000,180.000000,top
"R133","10K","R_0603_1608Metric",164.020000,-26.035000,180.000000,top
