Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R187,150R,R_0603_1608Metric,186.436,-104.648,90,top
R188,150R,R_0603_1608Metric,198.628,-104.648,90,top
R189,100K,R_0603_1608Metric,163.4225,-86.995,0,top
R190,100K,R_0603_1608Metric,171.0425,-86.995,0,top
R191,100K,R_0603_1608Metric,178.435,-86.995,0,top
R192,100K,R_0603_1608Metric,185.8275,-86.995,0,top
R193,150R,R_0603_1608Metric,163.576,-108.204,90,top
R194,150R,R_0603_1608Metric,175.768,-108.204,90,top
R195,150R,R_0603_1608Metric,187.96,-108.204,90,top
R196,150R,R_0603_1608Metric,200.152,-108.204,90,top
R197,100K,R_0603_1608Metric,163.4225,-90.17,0,top
R198,100K,R_0603_1608Metric,171.0425,-90.17,0,top
R199,100K,R_0603_1608Metric,178.435,-90.17,0,top
R200,100K,R_0603_1608Metric,185.8275,-90.17,0,top
R201,150R,R_0603_1608Metric,165.1,-104.648,90,top
R202,150R,R_0603_1608Metric,177.292,-104.648,90,top
